"Date","Criterion","Parameter 1","Parameter 2","Value"
"14.04.2015","gender_age","M","27-30",34
"14.04.2015","gender_age","M","30-35",26
"14.04.2015","gender_age","M","35-45",21
"14.04.2015","gender_age","M","45+",13
"14.04.2015","cities","Moscow","",30
"14.04.2015","cities","Saint Petersburg","",16
"14.04.2015","cities","Krasnodar","",6
"14.04.2015","cities","Kazan","",6
"14.04.2015","cities","Nizhny Novgorod","",5
"14.04.2015","cities","Vladivostok","",5
"14.04.2015","cities","Perm","",4
"14.04.2015","cities","Omsk","",4
"14.04.2015","cities","Novosibirsk","",4
"14.04.2015","cities","Cheboxary","",4
"14.04.2015","cities","Pyatigorsk","",4
"14.04.2015","cities","Donetsk","",3
"14.04.2015","cities","Nizhny Tagil","",3
"14.04.2015","cities","Minsk ","",3
"14.04.2015","cities","Zaporizhia","",3
"14.04.2015","cities","Rostov-on-Don","",3
"14.04.2015","cities","Sevastopol","",3
"14.04.2015","cities","Ufa","",3
"14.04.2015","cities","Yekaterinburg","",3
"14.04.2015","cities","Naberezhnye Chelny","",3
"14.04.2015","cities","Saratov","",2
"14.04.2015","cities","Joshkar-Ola","",2
"14.04.2015","cities","Boston","",2
"14.04.2015","cities","Kaluga","",2
"14.04.2015","cities","Krasnoyarsk","",2
"14.04.2015","countries","Russia","",319
"14.04.2015","countries","Ukraine","",43
"14.04.2015","countries","Kazakhstan","",18
"14.04.2015","countries","Belarus","",15
"14.04.2015","countries","USA","",14
"14.04.2015","countries","France","",7
"14.04.2015","countries","Italy","",2
"14.04.2015","countries","Ghana","",2
"14.04.2015","countries","Germany","",1
"14.04.2015","countries","Turkey","",1
"14.04.2015","countries","Norway","",1
"14.04.2015","countries","Armenia","",1
"14.04.2015","countries","Moldova","",1
"14.04.2015","countries","India","",1
"14.04.2015","countries","Iraq","",1
"14.04.2015","countries","Czech Republic","",1
"14.04.2015","countries","Canada","",1
"14.04.2015","countries","Vietnam","",1
"14.04.2015","sections","Discussion board","",22
"14.04.2015","sections","Videos","",2
"14.04.2015","sections","Photos","",4
"14.04.2015","activity","Wall posts","",7
"14.04.2015","activity","Photo comments","",11
"14.04.2015","feedback","Like","",79
"14.04.2015","feedback","Share","",4
"14.04.2015","feedback","Comments","",31
"14.04.2015","members","New members","",21
"14.04.2015","members","Members lost","",24
"14.04.2015","ads","Visitors from ads","",20
"13.04.2015","views","","",884
"13.04.2015","visitors","","",507
"13.04.2015","gender","F","",125
"13.04.2015","gender","M","",280
"13.04.2015","age","1-18","",39
"13.04.2015","age","18-21","",68
"13.04.2015","age","21-24","",69
"13.04.2015","age","24-27","",60
"13.04.2015","age","27-30","",33
"13.04.2015","age","30-35","",47
"13.04.2015","age","35-45","",34
"13.04.2015","age","45+","",15
"13.04.2015","gender_age","F","1-18",10
"13.04.2015","gender_age","F","18-21",23
"13.04.2015","gender_age","F","21-24",24
"13.04.2015","gender_age","F","24-27",18
"13.04.2015","gender_age","F","27-30",7
"13.04.2015","gender_age","F","30-35",14
"13.04.2015","gender_age","F","35-45",5
"13.04.2015","gender_age","F","45+",7
"13.04.2015","gender_age","M","1-18",29
"13.04.2015","gender_age","M","18-21",45
"13.04.2015","gender_age","M","21-24",45
"13.04.2015","gender_age","M","24-27",42
"13.04.2015","gender_age","M","27-30",26
"13.04.2015","gender_age","M","30-35",33
"13.04.2015","gender_age","M","35-45",29
"13.04.2015","gender_age","M","45+",8
"13.04.2015","cities","Moscow","",42
"13.04.2015","cities","Saint Petersburg","",17
"13.04.2015","cities","Nizhny Novgorod","",10
"13.04.2015","cities","Perm","",9
"13.04.2015","cities","Omsk","",9
"13.04.2015","cities","Yekaterinburg","",7
"13.04.2015","cities","Novosibirsk","",6
"13.04.2015","cities","Tyumen","",4
"13.04.2015","cities","Naberezhnye Chelny","",4
"13.04.2015","cities","Krasnoyarsk","",4
"13.04.2015","cities","Kaluga","",4
"13.04.2015","cities","Mariupol","",3
"13.04.2015","cities","Kiev","",3
"13.04.2015","cities","Kemerovo","",3
"13.04.2015","cities","Minsk ","",3
"13.04.2015","cities","Krasnodar","",3
"13.04.2015","cities","Surgut","",2
"13.04.2015","cities","Ulan-Ude","",2
"13.04.2015","cities","Tolyatti","",2
"13.04.2015","cities","Brest","",2
"13.04.2015","cities","Kharkiv","",2
"13.04.2015","cities","Novocherkassk","",2
"13.04.2015","cities","Baku","",2
"13.04.2015","cities","Kirovograd","",2
"13.04.2015","cities","Abakan","",2
"13.04.2015","countries","Russia","",390
"13.04.2015","countries","Ukraine","",42
"13.04.2015","countries","Kazakhstan","",19
"13.04.2015","countries","Belarus","",16
"13.04.2015","countries","USA","",15
"13.04.2015","countries","Germany","",6
"13.04.2015","countries","France","",4
"13.04.2015","countries","Azerbaijan","",3
"13.04.2015","countries","Japan","",2
"13.04.2015","countries","Moldova","",2
"13.04.2015","countries","Netherlands","",1
"13.04.2015","countries","United Kingdom","",1
"13.04.2015","countries","Georgia","",1
"13.04.2015","countries","Uzbekistan","",1
"13.04.2015","countries","Belgium","",1
"13.04.2015","countries","Taiwan","",1
"13.04.2015","countries","Canada","",1
"13.04.2015","countries","Singapore","",1
"13.04.2015","sections","Discussion board","",33
"13.04.2015","sections","Videos","",2
"13.04.2015","sections","Photos","",3
"13.04.2015","activity","Wall posts","",3
"13.04.2015","activity","Photo comments","",15
"13.04.2015","activity","Discussion comments","",2
"13.04.2015","feedback","Like","",87
"13.04.2015","feedback","Share","",14
"13.04.2015","feedback","Comments","",43
"13.04.2015","members","New members","",21
"13.04.2015","members","Members lost","",30
"13.04.2015","ads","Visitors from ads","",40
"12.04.2015","views","","",750
"12.04.2015","visitors","","",370
"12.04.2015","gender","F","",50
"12.04.2015","gender","M","",258
"12.04.2015","age","1-18","",39
"12.04.2015","age","18-21","",48
"12.04.2015","age","21-24","",35
"12.04.2015","age","24-27","",44
"12.04.2015","age","27-30","",36
"12.04.2015","age","30-35","",29
"12.04.2015","age","35-45","",26
"12.04.2015","age","45+","",24
"12.04.2015","gender_age","F","1-18",5
"12.04.2015","gender_age","F","18-21",7
"12.04.2015","gender_age","F","21-24",6
"12.04.2015","gender_age","F","24-27",6
"12.04.2015","gender_age","F","27-30",5
"12.04.2015","gender_age","F","30-35",5
"12.04.2015","gender_age","F","35-45",2
"12.04.2015","gender_age","F","45+",8
"12.04.2015","gender_age","M","1-18",34
"12.04.2015","gender_age","M","18-21",41
"12.04.2015","gender_age","M","21-24",29
"12.04.2015","gender_age","M","24-27",38
"12.04.2015","gender_age","M","27-30",31
"12.04.2015","gender_age","M","30-35",24
"12.04.2015","gender_age","M","35-45",24
"12.04.2015","gender_age","M","45+",16
"12.04.2015","cities","Moscow","",34
"12.04.2015","cities","Saint Petersburg","",14
"12.04.2015","cities","Novosibirsk","",6
"12.04.2015","cities","Perm","",6
"12.04.2015","cities","Tyumen","",4
"12.04.2015","cities","Penza","",4
"12.04.2015","cities","Lipetsk","",4
"12.04.2015","cities","Kiev","",4
"12.04.2015","cities","Cheboxary","",4
"12.04.2015","cities","Kemerovo","",3
"12.04.2015","cities","Volgograd","",3
"12.04.2015","cities","Ryazan","",3
"12.04.2015","cities","Omsk","",3
"12.04.2015","cities","Minsk ","",3
"12.04.2015","cities","Nizhnevartovsk","",2
"12.04.2015","cities","Donetsk","",2
"12.04.2015","cities","Barnaul","",2
"12.04.2015","cities","Naberezhnye Chelny","",2
"12.04.2015","cities","Kharkiv","",2
"12.04.2015","cities","Kirovograd","",2
"12.04.2015","cities","Sterlitamak","",2
"12.04.2015","cities","Kaluga","",2
"12.04.2015","cities","Dnipropetrovsk","",2
"12.04.2015","cities","Krasnoyarsk","",2
"12.04.2015","cities","Gadyach","",2
"12.04.2015","countries","Russia","",280
"12.04.2015","countries","Ukraine","",36
"12.04.2015","countries","Belarus","",19
"12.04.2015","countries","Kazakhstan","",10
"12.04.2015","countries","USA","",8
"12.04.2015","countries","Lithuania","",3
"12.04.2015","countries","Norway","",2
"12.04.2015","countries","Japan","",2
"12.04.2015","countries","Azerbaijan","",2
"12.04.2015","countries","Colombia","",1
"12.04.2015","countries","Bangladesh","",1
"12.04.2015","countries","China","",1
"12.04.2015","countries","Greece","",1
"12.04.2015","countries","","",1
"12.04.2015","countries","Saudi Arabia","",1
"12.04.2015","countries","Slovakia","",1
"12.04.2015","countries","Sweden","",1
"12.04.2015","sections","Discussion board","",44
"12.04.2015","sections","Videos","",2
"12.04.2015","sections","Photos","",1
"12.04.2015","activity","Wall posts","",12
"12.04.2015","activity","Photo comments","",22
"12.04.2015","activity","Discussion comments","",4
"12.04.2015","feedback","Like","",100
"12.04.2015","feedback","Share","",13
"12.04.2015","feedback","Comments","",65
"12.04.2015","members","New members","",21
"12.04.2015","members","Members lost","",19
"11.04.2015","views","","",643
"11.04.2015","visitors","","",360
"11.04.2015","gender","F","",56
"11.04.2015","gender","M","",221
"11.04.2015","age","1-18","",36
"11.04.2015","age","18-21","",43
"11.04.2015","age","21-24","",43
"11.04.2015","age","24-27","",34
"11.04.2015","age","27-30","",28
"11.04.2015","age","30-35","",23
"11.04.2015","age","35-45","",25
"11.04.2015","age","45+","",19
"11.04.2015","gender_age","F","1-18",10
"11.04.2015","gender_age","F","18-21",6
"11.04.2015","gender_age","F","21-24",14
"11.04.2015","gender_age","F","24-27",3
"11.04.2015","gender_age","F","27-30",4
"11.04.2015","gender_age","F","30-35",2
"11.04.2015","gender_age","F","35-45",5
"11.04.2015","gender_age","F","45+",5
"11.04.2015","gender_age","M","1-18",26
"11.04.2015","gender_age","M","18-21",37
"11.04.2015","gender_age","M","21-24",29
"11.04.2015","gender_age","M","24-27",31
"11.04.2015","gender_age","M","27-30",24
"11.04.2015","gender_age","M","30-35",21
"11.04.2015","gender_age","M","35-45",20
"11.04.2015","gender_age","M","45+",14
"11.04.2015","cities","Moscow","",27
"11.04.2015","cities","Saint Petersburg","",9
"11.04.2015","cities","Volgograd","",5
"11.04.2015","cities","Kiev","",4
"11.04.2015","cities","Nizhny Novgorod","",4
"11.04.2015","cities","Samara","",4
"11.04.2015","cities","Yekaterinburg","",4
"11.04.2015","cities","Naberezhnye Chelny","",4
"11.04.2015","cities","Kaluga","",3
"11.04.2015","cities","Kazan","",3
"11.04.2015","cities","Tyumen","",3
"11.04.2015","cities","Lipetsk","",3
"11.04.2015","cities","Donetsk","",2
"11.04.2015","cities","Astana","",2
"11.04.2015","cities","Krasnodar","",2
"11.04.2015","cities","Gadyach","",2
"11.04.2015","cities","Kirovograd","",2
"11.04.2015","cities","Perm","",2
"11.04.2015","cities","Sterlitamak","",2
"11.04.2015","cities","Ivanovo","",2
"11.04.2015","cities","Smolensk","",2
"11.04.2015","cities","Nizhnevartovsk","",2
"11.04.2015","cities","Shymkent","",2
"11.04.2015","cities","Almaty","",2
"11.04.2015","cities","Petrozavodsk","",2
"11.04.2015","countries","Russia","",268
"11.04.2015","countries","Ukraine","",31
"11.04.2015","countries","Kazakhstan","",18
"11.04.2015","countries","Belarus","",12
"11.04.2015","countries","USA","",7
"11.04.2015","countries","Canada","",5
"11.04.2015","countries","Azerbaijan","",3
"11.04.2015","countries","Japan","",3
"11.04.2015","countries","China","",2
"11.04.2015","countries","Netherlands","",2
"11.04.2015","countries","Germany","",1
"11.04.2015","countries","Norway","",1
"11.04.2015","countries","South Korea","",1
"11.04.2015","countries","Spain","",1
"11.04.2015","countries","Lithuania","",1
"11.04.2015","countries","Tunisia","",1
"11.04.2015","countries","France","",1
"11.04.2015","countries","Iraq","",1
"11.04.2015","countries","Armenia","",1
"11.04.2015","sections","Discussion board","",19
"11.04.2015","sections","Videos","",2
"11.04.2015","sections","Photos","",1
"11.04.2015","activity","Wall posts","",8
"11.04.2015","activity","Photo comments","",10
"11.04.2015","activity","Discussion comments","",6
"11.04.2015","feedback","Like","",43
"11.04.2015","feedback","Share","",4
"11.04.2015","feedback","Comments","",23
"11.04.2015","members","New members","",15
"11.04.2015","members","Members lost","",24
"10.04.2015","views","","",928
"10.04.2015","visitors","","",501
"10.04.2015","gender","F","",62
"10.04.2015","gender","M","",356
"10.04.2015","age","1-18","",37
"10.04.2015","age","18-21","",62
"10.04.2015","age","21-24","",68
"10.04.2015","age","24-27","",67
"10.04.2015","age","27-30","",54
"10.04.2015","age","30-35","",36
"10.04.2015","age","35-45","",29
"10.04.2015","age","45+","",23
"10.04.2015","gender_age","F","1-18",8
"10.04.2015","gender_age","F","18-21",3
"10.04.2015","gender_age","F","21-24",13
"10.04.2015","gender_age","F","24-27",10
"10.04.2015","gender_age","F","27-30",6
"10.04.2015","gender_age","F","30-35",5
"10.04.2015","gender_age","F","35-45",3
"10.04.2015","gender_age","F","45+",3
"10.04.2015","gender_age","M","1-18",29
"10.04.2015","gender_age","M","18-21",59
"10.04.2015","gender_age","M","21-24",55
"10.04.2015","gender_age","M","24-27",57
"10.04.2015","gender_age","M","27-30",48
"10.04.2015","gender_age","M","30-35",31
"10.04.2015","gender_age","M","35-45",26
"10.04.2015","gender_age","M","45+",20
"10.04.2015","cities","Moscow","",57
"10.04.2015","cities","Saint Petersburg","",16
"10.04.2015","cities","Novosibirsk","",8
"10.04.2015","cities","Kazan","",7
"10.04.2015","cities","Tyumen","",5
"10.04.2015","cities","Krasnoyarsk","",5
"10.04.2015","cities","Kaluga","",5
"10.04.2015","cities","Chelyabinsk","",5
"10.04.2015","cities","Pskov","",4
"10.04.2015","cities","Nizhny Novgorod","",4
"10.04.2015","cities","Ufa","",4
"10.04.2015","cities","Volgograd","",4
"10.04.2015","cities","Cheboxary","",4
"10.04.2015","cities","Simferopol","",4
"10.04.2015","cities","Ulyanovsk","",4
"10.04.2015","cities","Samara","",4
"10.04.2015","cities","Yaroslavl","",3
"10.04.2015","cities","Donetsk","",3
"10.04.2015","cities","Naberezhnye Chelny","",3
"10.04.2015","cities","Krasnodar","",3
"10.04.2015","cities","Cherepovets","",3
"10.04.2015","cities","Ryazan","",3
"10.04.2015","cities","Voronezh","",3
"10.04.2015","cities","Ulan-Ude","",2
"10.04.2015","cities","Khabarovsk","",2
"10.04.2015","countries","Russia","",402
"10.04.2015","countries","Ukraine","",46
"10.04.2015","countries","Kazakhstan","",14
"10.04.2015","countries","USA","",12
"10.04.2015","countries","Belarus","",12
"10.04.2015","countries","Serbia","",2
"10.04.2015","countries","Moldova","",2
"10.04.2015","countries","Germany","",2
"10.04.2015","countries","Norway","",1
"10.04.2015","countries","Spain","",1
"10.04.2015","countries","","",1
"10.04.2015","countries","Latvia","",1
"10.04.2015","countries","Netherlands","",1
"10.04.2015","countries","Bulgaria","",1
"10.04.2015","countries","Azerbaijan","",1
"10.04.2015","countries","Poland","",1
"10.04.2015","countries","Czech Republic","",1
"10.04.2015","sections","Discussion board","",36
"10.04.2015","sections","Videos","",3
"10.04.2015","sections","Photos","",4
"10.04.2015","activity","Wall posts","",4
"10.04.2015","activity","Photo comments","",10
"10.04.2015","activity","Discussion comments","",8
"10.04.2015","feedback","Like","",62
"10.04.2015","feedback","Share","",12
"10.04.2015","feedback","Comments","",37
"10.04.2015","members","New members","",29
"10.04.2015","members","Members lost","",12
"10.04.2015","ads","New members from ads","",6
"10.04.2015","ads","Visitors from ads","",115
"09.04.2015","views","","",912
"09.04.2015","visitors","","",557
"09.04.2015","gender","F","",73
"09.04.2015","gender","M","",372
"09.04.2015","age","1-18","",51
"09.04.2015","age","18-21","",72
"09.04.2015","age","21-24","",64
"09.04.2015","age","24-27","",68
"09.04.2015","age","27-30","",50
"09.04.2015","age","30-35","",46
"09.04.2015","age","35-45","",26
"09.04.2015","age","45+","",25
"09.04.2015","gender_age","F","1-18",13
"09.04.2015","gender_age","F","18-21",8
"09.04.2015","gender_age","F","21-24",13
"09.04.2015","gender_age","F","24-27",10
"09.04.2015","gender_age","F","27-30",8
"09.04.2015","gender_age","F","30-35",8
"09.04.2015","gender_age","F","35-45",1
"09.04.2015","gender_age","F","45+",3
"09.04.2015","gender_age","M","1-18",38
"09.04.2015","gender_age","M","18-21",64
"09.04.2015","gender_age","M","21-24",51
"09.04.2015","gender_age","M","24-27",58
"09.04.2015","gender_age","M","27-30",42
"09.04.2015","gender_age","M","30-35",38
"09.04.2015","gender_age","M","35-45",25
"09.04.2015","gender_age","M","45+",22
"09.04.2015","cities","Moscow","",55
"09.04.2015","cities","Saint Petersburg","",26
"09.04.2015","cities","Kazan","",7
"09.04.2015","cities","Samara","",5
"09.04.2015","cities","Nizhny Novgorod","",5
"09.04.2015","cities","Rostov-on-Don","",5
"09.04.2015","cities","Naberezhnye Chelny","",4
"09.04.2015","cities","Cheboxary","",4
"09.04.2015","cities","Novosibirsk","",4
"09.04.2015","cities","Ryazan","",4
"09.04.2015","cities","Ufa","",3
"09.04.2015","cities","Khabarovsk","",3
"09.04.2015","cities","Yaroslavl","",3
"09.04.2015","cities","Izhevsk","",3
"09.04.2015","cities","Donetsk","",3
"09.04.2015","cities","Kharkiv","",3
"09.04.2015","cities","Saratov","",3
"09.04.2015","cities","Irkutsk","",2
"09.04.2015","cities","Nizhnevartovsk","",2
"09.04.2015","cities","Maykop","",2
"09.04.2015","cities","Kanash","",2
"09.04.2015","cities","Kirov","",2
"09.04.2015","cities","Kiev","",2
"09.04.2015","cities","Kaluga","",2
"09.04.2015","cities","Lipetsk","",2
"09.04.2015","countries","Russia","",433
"09.04.2015","countries","Ukraine","",43
"09.04.2015","countries","USA","",15
"09.04.2015","countries","Belarus","",14
"09.04.2015","countries","Canada","",13
"09.04.2015","countries","Switzerland","",8
"09.04.2015","countries","Kazakhstan","",8
"09.04.2015","countries","India","",4
"09.04.2015","countries","Poland","",3
"09.04.2015","countries","Germany","",3
"09.04.2015","countries","Uzbekistan","",3
"09.04.2015","countries","Moldova","",3
"09.04.2015","countries","Azerbaijan","",2
"09.04.2015","countries","","",1
"09.04.2015","countries","Norway","",1
"09.04.2015","countries","Kyrgyzstan","",1
"09.04.2015","countries","Latvia","",1
"09.04.2015","countries","Netherlands","",1
"09.04.2015","sections","Discussion board","",37
"09.04.2015","sections","Videos","",7
"09.04.2015","sections","Photos","",4
"09.04.2015","activity","Wall posts","",2
"09.04.2015","activity","Photo comments","",31
"09.04.2015","activity","Discussion comments","",9
"09.04.2015","feedback","Like","",73
"09.04.2015","feedback","Share","",5
"09.04.2015","feedback","Comments","",85
"09.04.2015","members","New members","",30
"09.04.2015","members","Members lost","",28
"09.04.2015","ads","New members from ads","",16
"09.04.2015","ads","Visitors from ads","",128
"08.04.2015","views","","",739
"08.04.2015","visitors","","",392
"08.04.2015","gender","F","",64
"08.04.2015","gender","M","",227
"08.04.2015","age","1-18","",37
"08.04.2015","age","18-21","",38
"08.04.2015","age","21-24","",36
"08.04.2015","age","24-27","",47
"08.04.2015","age","27-30","",32
"08.04.2015","age","30-35","",27
"08.04.2015","age","35-45","",18
"08.04.2015","age","45+","",17
"08.04.2015","gender_age","F","1-18",14
"08.04.2015","gender_age","F","18-21",5
"08.04.2015","gender_age","F","21-24",5
"08.04.2015","gender_age","F","24-27",13
"08.04.2015","gender_age","F","27-30",6
"08.04.2015","gender_age","F","30-35",2
"08.04.2015","gender_age","F","35-45",3
"08.04.2015","gender_age","F","45+",4
"08.04.2015","gender_age","M","1-18",23
"08.04.2015","gender_age","M","18-21",33
"08.04.2015","gender_age","M","21-24",31
"08.04.2015","gender_age","M","24-27",34
"08.04.2015","gender_age","M","27-30",26
"08.04.2015","gender_age","M","30-35",25
"08.04.2015","gender_age","M","35-45",15
"08.04.2015","gender_age","M","45+",13
"08.04.2015","cities","Moscow","",37
"08.04.2015","cities","Saint Petersburg","",6
"08.04.2015","cities","Krasnodar","",5
"08.04.2015","cities","Tyumen","",4
"08.04.2015","cities","Novosibirsk","",4
"08.04.2015","cities","Naberezhnye Chelny","",3
"08.04.2015","cities","Abakan","",3
"08.04.2015","cities","Chelyabinsk","",3
"08.04.2015","cities","Cheboxary","",3
"08.04.2015","cities","Petrozavodsk","",3
"08.04.2015","cities","Syktyvkar","",3
"08.04.2015","cities","Vitebsk","",3
"08.04.2015","cities","Kaluga","",3
"08.04.2015","cities","Donetsk","",2
"08.04.2015","cities","Pskov","",2
"08.04.2015","cities","Komsomolsk-Na-Amure","",2
"08.04.2015","cities","Korolyov","",2
"08.04.2015","cities","Berlin","",2
"08.04.2015","cities","Tomsk","",2
"08.04.2015","cities","Orenburg","",2
"08.04.2015","cities","Perm","",2
"08.04.2015","cities","Barnaul","",2
"08.04.2015","cities","Gadyach","",2
"08.04.2015","cities","Kirovograd","",2
"08.04.2015","cities","Boston","",2
"08.04.2015","countries","Russia","",289
"08.04.2015","countries","Ukraine","",38
"08.04.2015","countries","USA","",17
"08.04.2015","countries","Belarus","",17
"08.04.2015","countries","Kazakhstan","",12
"08.04.2015","countries","India","",4
"08.04.2015","countries","Germany","",3
"08.04.2015","countries","Ghana","",1
"08.04.2015","countries","Netherlands","",1
"08.04.2015","countries","Moldova","",1
"08.04.2015","countries","Tajikistan","",1
"08.04.2015","countries","Norway","",1
"08.04.2015","countries","Czech Republic","",1
"08.04.2015","countries","Ireland","",1
"08.04.2015","countries","Armenia","",1
"08.04.2015","countries","Latvia","",1
"08.04.2015","countries","China","",1
"08.04.2015","countries","Kyrgyzstan","",1
"08.04.2015","countries","Spain","",1
"08.04.2015","sections","Discussion board","",27
"08.04.2015","sections","Audio files","",1
"08.04.2015","sections","Videos","",4
"08.04.2015","sections","Photos","",9
"08.04.2015","activity","Wall posts","",10
"08.04.2015","activity","Photo comments","",29
"08.04.2015","activity","Discussion comments","",4
"08.04.2015","feedback","Like","",26
"08.04.2015","feedback","Share","",2
"08.04.2015","feedback","Comments","",51
"08.04.2015","members","New members","",14
"08.04.2015","members","Members lost","",13
"07.04.2015","views","","",947
"07.04.2015","visitors","","",428
"07.04.2015","gender","F","",68
"07.04.2015","gender","M","",267
"07.04.2015","age","1-18","",40
"07.04.2015","age","18-21","",49
"07.04.2015","age","21-24","",50
"07.04.2015","age","24-27","",39
"07.04.2015","age","27-30","",47
"07.04.2015","age","30-35","",28
"07.04.2015","age","35-45","",24
"07.04.2015","age","45+","",21
"07.04.2015","gender_age","F","1-18",4
"07.04.2015","gender_age","F","18-21",8
"07.04.2015","gender_age","F","21-24",10
"07.04.2015","gender_age","F","24-27",8
"07.04.2015","gender_age","F","27-30",8
"07.04.2015","gender_age","F","30-35",5
"07.04.2015","gender_age","F","35-45",9
"07.04.2015","gender_age","F","45+",4
"07.04.2015","gender_age","M","1-18",36
"07.04.2015","gender_age","M","18-21",41
"07.04.2015","gender_age","M","21-24",40
"07.04.2015","gender_age","M","24-27",31
"07.04.2015","gender_age","M","27-30",39
"07.04.2015","gender_age","M","30-35",23
"07.04.2015","gender_age","M","35-45",15
"07.04.2015","gender_age","M","45+",17
"07.04.2015","cities","Moscow","",41
"07.04.2015","cities","Saint Petersburg","",13
"07.04.2015","cities","Yekaterinburg","",11
"07.04.2015","cities","Nizhny Novgorod","",6
"07.04.2015","cities","Lviv","",4
"07.04.2015","cities","Almaty","",4
"07.04.2015","cities","Kirovograd","",3
"07.04.2015","cities","Vitebsk","",3
"07.04.2015","cities","Minsk ","",3
"07.04.2015","cities","Naberezhnye Chelny","",3
"07.04.2015","cities","Perm","",3
"07.04.2015","cities","Omsk","",3
"07.04.2015","cities","Rostov-on-Don","",3
"07.04.2015","cities","Lipetsk","",3
"07.04.2015","cities","Syktyvkar","",3
